"","datetime","city","country","shape"
"66701",NA,"","",""
"66702",2020-07-26,"","",""
"66703",NA,"","",""
"68255",2020-07-03,"","",""
"68256",NA,"","",""
"69595",2020-07-04,"","",""
"69596",NA,"","",""
"70259",2020-07-06,"","",""
"70260",NA,"","",""
"70608",2020-07-07,"","",""
"70609",NA,"","",""
"70799",2019-07-08,"","",""
"70800",NA,"","",""
"70802",2019-07-08,"","",""
"70803",NA,"","",""
"70875",2020-07-08,"","",""
"70876",NA,"","",""
"71505",2020-08-10,"","",""
"71506",NA,"","",""
"71795",2020-08-11,"","",""
"71796",NA,"","",""
"72253",2020-08-01,"","",""
"72254",NA,"","",""
"72282",2020-08-01,"","",""
"72283",NA,"","",""
"73707",2019-08-15,"","",""
"73708",NA,"","",""
"74819",2020-08-17,"","",""
"74820",NA,"","",""
"74951",2020-08-18,"","",""
"74952",NA,"","",""
"75085",2020-08-18,"","",""
"75086",NA,"","",""
"75230",2020-08-19,"","",""
"75231",NA,"","",""
"75515",2020-08-20,"","",""
"75516",NA,"","",""
"75586",2020-08-20,"","",""
"75587",NA,"","",""
"75848",2020-08-21,"","",""
"75849",NA,"","",""
"76005",2020-08-21,"","",""
"76006",NA,"","",""
"76290",2020-08-02,"","",""
"76291",NA,"","",""
"77008",2020-08-24,"","",""
"77009",NA,"","",""
"77715",2020-08-27,"","",""
"77716",NA,"","",""
"77744",2020-08-27,"","",""
"77745",NA,"","",""
"77784",2020-08-27,"","",""
"77785",NA,"","",""
"78049",2020-08-28,"","",""
"78050",NA,"","",""
"78296",2020-08-29,"","",""
"78297",NA,"","",""
"78706",2020-08-31,"","",""
"78707",NA,"","",""
"78786",2020-08-31,"","",""
"78787",NA,"","",""
"79333",2020-08-04,"","",""
"79334",NA,"","",""
"80128",2020-08-07,"","",""
"80129",NA,"","",""
"80340",2020-08-08,"","",""
"80341",NA,"","",""
"80513",2020-08-08,"","",""
"80514",NA,"","",""
"80568",2020-08-09,"","",""
"80569",NA,"","",""
"80608",2020-08-09,"","",""
"80609",NA,"","",""
"80691",2020-08-09,"","",""
"80692",NA,"","",""
"82260",2020-09-13,"","",""
"82261",NA,"","",""
"82756",2019-09-15,"","",""
"82757",NA,"","",""
"86314",2020-09-26,"","",""
"86315",NA,"","",""
"87410",2020-09-30,"","",""
"87411",NA,"","",""
"87650",2020-09-03,"","",""
"87651",NA,"","",""
"87773",2020-09-04,"","",""
"87774",NA,"","",""
"43446",2020-04-25,"((hoax))","",""
"71668",2020-08-11,"((name of town deleted))","",""
"17981",2020-11-08,"((unspecified location))","",""
"85589",2020-09-23,"(republic of ireland)","",""
"39696",2020-04-10,"aberdeen (uk/scotland)","gb",""
"1630",2019-10-14,"abilene","us",""
"59168",2020-06-30,"ada","us",""
"73069",2020-08-13,"ada","us",""
"55741",2019-06-19,"adair county","us",""
"8432",2020-01-10,"adams/friendship (in eastern sky)","",""
"77110",2019-08-25,"adamsville","us",""
"59568",2019-06-04,"addison","us",""
"14271",2019-11-25,"adelaide (south australia)","au",""
"14134",2020-11-24,"afton","",""
"59633",2020-06-04,"ahmecgarh (india)","",""
"10294",2019-11-15,"alameda naval air station/marine corp air wing bubble","",""
"87676",2019-09-04,"alamo lake","",""
"3508",2020-10-20,"albany","us",""
"3509",2020-10-20,"albany","us",""
"3510",2020-10-20,"albany","us",""
"3518",2020-10-20,"albany","us",""
"14905",2020-11-28,"albany","us",""
"15468",2019-11-03,"albany","us",""
"43690",2019-04-27,"albany","us",""
"60227",2019-06-07,"albany","us",""
"40443",2020-04-12,"alberta (canada)","",""
"43743",2020-04-27,"alberta (canada)","",""
"58618",2019-06-30,"albertson","us",""
"41835",2020-04-18,"albion","us",""
"6889",2019-10-04,"albuquerque","us",""
"26256",2020-01-28,"albuquerque","us",""
"29859",2019-02-16,"albuquerque","us",""
"30564",2019-02-20,"albuquerque","us",""
"59045",2020-06-30,"albuquerque","us",""
"68176",2019-07-03,"albuquerque","us",""
"71429",2020-08-10,"albuquerque","us",""
"73287",2020-08-14,"albuquerque","us",""
"77887",2019-08-28,"albuquerque","us",""
"84468",2020-09-20,"albuquerque","us",""
"84882",2020-09-21,"albuquerque","us",""
"88323",2020-09-06,"albuquerque","us",""
"88791",2020-09-08,"albuquerque","us",""
"47230",2020-05-15,"alden","us",""
"84939",2019-09-02,"aldergrove (canada)","ca",""
"19863",2020-12-13,"alexandria","us",""
"26845",2019-01-31,"alexandria","us",""
"60766",2020-06-09,"alexandria","us",""
"15897",2019-11-04,"alfalfa","us",""
"22886",2020-12-25,"alford (aberdeenshire)(uk/scotland)","gb",""
"71830",2020-08-11,"algoma","us",""
"308",2019-10-11,"alice springs  (nt&#44 australia)","au",""
"14276",2019-11-25,"alice springs  (nt&#44 australia)","au",""
"78937",2020-08-03,"allahbad (india)","",""
"36776",2020-03-22,"allentown","us",""
"37027",2019-03-24,"allentown","us",""
"52619",2019-06-01,"alma","us",""
"10785",2019-11-16,"alpena","us",""
"66516",2020-07-25,"alpheretta","",""
"80020",2020-08-07,"alto","us",""
"71883",2020-08-11,"altoona","us",""
"81538",2019-09-01,"alturas","us",""
"83728",2019-09-18,"alturas","us",""
"10048",2019-11-14,"american canyon","us",""
"25662",2020-12-06,"american fork","us",""
"30459",2020-02-19,"amity","us",""
"39260",2019-03-08,"ammon","us",""
"50369",2019-05-03,"amsterdam","us",""
"41416",2020-04-16,"anacortes","us",""
"12081",2019-01-01,"anaheim","us",""
"33410",2019-02-09,"anaheim","us",""
"76580",2019-08-23,"anaheim","us",""
"81213",2020-09-11,"anaheim","us",""
"27966",2020-01-07,"anchorage","us",""
"50960",2020-05-05,"anchorage","us",""
"87159",2019-09-30,"anderson","us",""
"59173",2020-06-30,"andros island (bahamas)","",""
"53848",2019-06-14,"ann arbor","us",""
"63663",2020-07-15,"ann arbor","us",""
"21520",2020-12-20,"annapolis","us",""
"53451",2019-06-12,"annapolis","us",""
"70735",2020-07-07,"annapolis (near)","us",""
"2654",2020-10-16,"anonymous","",""
"86564",2020-09-27,"anthony","us",""
"49881",2019-05-29,"antioch","us",""
"40243",2020-04-01,"apache junction","us",""
"43269",2020-04-24,"applachian mountains","",""
"39640",2019-04-10,"apple valley","us",""
"71645",2019-08-11,"applegate","us",""
"72018",2019-08-01,"appleton","us",""
"33942",2020-03-11,"appleton (lawrence university)","us",""
"11201",2019-11-17,"arcadia","us",""
"68684",2019-07-04,"arcadia","us",""
"73778",2019-08-15,"arcadia shores","",""
"79952",2020-08-07,"arizona (city unknown_","",""
"86527",2020-09-27,"arizona (in-flight)","",""
"63899",2020-07-16,"arizona (rural)","",""
"2822",2020-10-17,"arlington","us",""
"11195",2019-11-17,"arlington","us",""
"34267",2020-03-01,"arlington","us",""
"49546",2019-05-27,"arlington","us",""
"60642",2019-06-09,"arlington","us",""
"66131",2019-07-24,"arlington","us",""
"82863",2019-09-15,"arlington","us",""
"69061",2020-07-04,"arundel (uk/england)","gb",""
"24057",2020-12-31,"arvada","us",""
"11917",2020-11-19,"asheville","us",""
"59746",2019-06-05,"athens (greece)","",""
"13131",2020-11-21,"atherton (australia)","au",""
"78438",2020-08-30,"athrugiriya (sri lanka)","",""
"5588",2020-10-28,"atkins","",""
"28797",2020-02-01,"atkins (near)","",""
"8494",2019-11-10,"atlanta","us",""
"32732",2019-02-05,"atlanta","us",""
"61417",2019-07-01,"atlanta","us",""
"76902",2020-08-24,"atlanta","us",""
"54092",2019-06-15,"atlantic ocean (bermuda)","",""
"48687",2019-05-22,"atlantic ocean (uscg cutter &quot;spencer&quot;)","",""
"47164",2019-05-15,"atolicita hills","",""
"4174",2019-10-22,"auburn","us",""
"5525",2019-10-28,"auburn","us",""
"8469",2019-11-10,"auburn","us",""
"31151",2019-02-22,"auburn","us",""
"33413",2019-02-09,"auburn","us",""
"37187",2019-03-25,"auburn","us",""
"37999",2019-03-30,"auburn","us",""
"46703",2020-05-13,"auburn","us",""
"49880",2019-05-29,"auburn","us",""
"63289",2019-07-15,"auburn","us",""
"73500",2019-08-15,"auburn","us",""
"77400",2019-08-26,"auburn","us",""
"80769",2019-09-10,"auburn","us",""
"12062",2019-01-01,"auckland (new zealand)","",""
"40638",2020-04-13,"augusta","us",""
"41930",2019-04-19,"augusta","us",""
"86394",2020-09-26,"augusta","us",""
"12938",2020-11-20,"aurora","us",""
"70481",2019-07-07,"aurora","us",""
"78881",2019-08-03,"aurora","us",""
"49773",2020-05-28,"aurora/wheaton/warrenville areas","",""
"676",2019-10-01,"austin","us",""
"890",2020-10-01,"austin","us",""
"17274",2019-11-07,"austin","us",""
"20306",2020-12-15,"austin","us",""
"32706",2020-02-04,"austin","us",""
"37026",2019-03-24,"austin","us",""
"40027",2019-04-01,"austin","us",""
"6038",2020-10-30,"austintown","us",""
"72822",2020-08-12,"avon","us",""
"34292",2019-03-12,"avondale","us",""
"12128",2020-01-01,"bakersfield","us",""
"35757",2019-03-18,"bakersfield","us",""
"35758",2019-03-18,"bakersfield","us",""
"41024",2019-04-15,"bakersfield","us",""
